utility,source,region,period,voltage_class,currency,price_flat,price_peak,price_valley,price_sharp_peak,price_deep_valley,note
electricity,SGCC-Jiangsu,CN-JS,2025-07,110kV_two_part,CNY,0.6329,0.9831,0.3483,1.1407,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2025-08,110kV_two_part,CNY,0.6263,0.9682,0.3485,1.1221,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2025-09,110kV_two_part,CNY,0.6113,0.9505,0.3357,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2025-10,110kV_two_part,CNY,0.5973,0.9442,0.3155,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2025-11,110kV_two_part,CNY,0.6080,0.9594,0.3225,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2025-12,110kV_two_part,CNY,0.6256,0.9876,0.3315,1.1505,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-01,110kV_two_part,CNY,0.6032,0.9182,0.3473,1.0599,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-02,110kV_two_part,CNY,0.5605,0.8087,0.3589,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-03,110kV_two_part,CNY,0.5606,0.8372,0.3358,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-04,110kV_two_part,CNY,0.5677,0.8649,0.3262,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-05,110kV_two_part,CNY,0.5550,0.8373,0.3256,,,demand_charge_excluded
electricity,SGCC-Jiangsu,CN-JS,2026-06,110kV_two_part,CNY,0.5842,0.8826,0.3418,,,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2025-12,110-220kV_two_part,CNY,0.67646875,1.03936875,0.31366875,1.19446875,0.21016875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-01,110-220kV_two_part,CNY,0.64876875,1.02566875,0.27196875,1.18726875,0.16426875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-02,110-220kV_two_part,CNY,0.63296875,0.99356875,0.27256875,1.14786875,0.16956875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-03,110-220kV_two_part,CNY,0.58406875,0.92056875,0.24766875,1.06476875,0.15146875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-04,110-220kV_two_part,CNY,0.58106875,0.92746875,0.23486875,1.07586875,0.13586875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-05,110-220kV_two_part,CNY,0.58236875,0.90896875,0.25586875,1.04886875,0.16256875,demand_charge_excluded
electricity,EnergyDC-SGCC-Shandong,CN-SD,2026-06,110-220kV_two_part,CNY,0.57756875,0.89456875,0.26056875,1.03026875,0.17026875,demand_charge_excluded
